,book_id,author_id
1613,5266655,145926
1616,3224378,192549
1636,16031258,6534462
1670,6424184,19954
1681,592089,99836
1696,16099159,6459302
1704,444381,2413
1715,73093,17293
1717,5024334,317354
1720,16160701,3167424
1728,278280,25376
1729,240297,56353
1733,3437328,25375
1741,17934530,33919
1742,7562764,2768002
1743,9265453,33918
1749,50275,26335
1751,75479,598299
1759,179735,90070
1763,9581507,29471
1764,9545064,22506
1767,8724084,53574
1772,8161632,51118
1783,25876993,14155920
1787,30312700,4485813
1794,28458598,14834224
1795,30095464,7055613
1812,202769,338705
1813,238460,119933
1814,46306,6378
1815,394724,61659
1832,9858081,7963
1854,13423535,4849861
1857,15997064,6522690
1859,16219585,5819163
1872,15980748,6517460
1880,17185633,6870069
1888,16242085,2952211
1891,17185556,6568302
1893,18829666,7105371
1894,25731237,7163319
1895,22586926,5784542
1897,23389993,7445352
1905,6681333,293603
1915,11761455,4718186
1924,12814540,213659
1958,143534,8993
1960,529701,10356
1961,395182,13078
1967,77727,13778
1974,6234910,823146
1975,88077,19405
1984,3851380,1441
1988,6335026,2875124
1991,6224935,26163
1996,9530,6243
2008,12543,7113
2022,6545608,16494
2029,475,256
2042,153540,15450
2044,22013040,7108778
2058,367689,42211
2059,311308,18067
2064,128837,285217
2068,9454,6188
2069,12321,1938
2074,108137,7440
2080,27494,1438
2081,43191522,1633234
2085,2274683,1025280
2086,2989344,966321
2088,458191,231914
2090,713798,82453
2095,193659,112892
2097,67238,52601
2099,10907,7127
2120,21911024,6200344
2132,17230517,4558309
2142,18799225,7388591
2154,9481431,4399719
2155,3426706,1219600
2159,10809019,4719619
2163,397867,80984
2164,103035,10366
2165,32430,6926240
2166,816085,128447
2174,34386617,588356
2193,900,588
2203,7252,4852
2212,20492283,6879912
2217,2392677,871368
2222,2498049,1108381
2236,25673,6819578
2240,190999,23012
2241,40395,10885
2244,303615,159357
2253,214441,125792
2255,385228,57651
2259,364550,51746
2262,12651,7994
2265,99955,57639
2268,25698,14424
2274,82748,6104
2277,137098,61565
2278,31101,12915
2281,263731,64216
2283,489612,273399
2288,18108877,6581077
2289,62992,20295
2292,299514,63659
2296,29661618,7176787
2301,99702,14002
2303,16967,8688
2306,72694,6944
2307,35066358,7210024
2308,133738,77170
2318,12997592,4893411
2320,11106249,3023973
2323,13139100,5184237
2348,17255435,6860531
2352,15998621,6518554
2357,7823549,191456
2359,7171882,27206
2370,346272,198623
2373,237117,10006
2379,6051589,2765438
2386,2842796,274667
2390,2273246,270479
2391,2506250,1111511
2392,7619292,4379470
2393,6707693,3020684
2397,24522888,8154595
2399,23160974,8526768
2405,26004546,4251995
2406,12849385,9291
2407,187650,109299
2410,6702002,579553
