id_prix,id_livre
1,998
1,887980
1,1547379
1,86236
2,24876258
2,20980680
2,20446802
2,21457243
3,7640261
3,6732019
3,6758423
3,7237456
3,6828896
3,7155145
4,176892
5,138811
6,23346719
7,1977834
7,28953118
8,7831145
8,7686654
8,5598819
8,7904453
8,6895179
8,7895168
8,6503160
8,6629340
8,6482837
8,6479550
8,6931356
8,6368610
8,6905534
8,6871616
8,6611038
8,7797874
9,58893
9,95914
9,58889
9,58890
9,58894
9,91836
10,6419887
10,6184241
10,6101718
11,71869
12,7519640
13,2214574
14,7163862
15,8662135
15,2964700
15,7179686
15,10626594
15,13829
15,153779
16,97860
17,10587120
17,10340846
17,10290752
17,11305364
17,9862761
18,621687
18,6046158
18,1948904
18,3954368
18,2225238
18,2584942
18,2581350
18,3169710
18,1722717
18,2179276
18,4837032
19,199635
20,39097
21,7129468
21,9520360
21,7592279
22,10414941
22,10464963
22,10383597
22,10478391
23,11242368
23,6371720
23,13356190
23,6261122
23,13037526
23,17290682
23,11699349
23,18301308
23,8253491
23,7090447
23,227651
23,9917879
23,15937108
23,8112318
23,16061340
24,167302
24,74462
24,8913370
24,35306
24,19661
25,311308
25,72623
26,82553
26,71864
26,71865
27,22852698
28,457762
29,402
29,282675
29,31093
30,226425
31,13806
31,30072
32,12700306
32,11746102
32,12444166
32,13091829
32,12114440
32,7942786
32,11506205
32,8786358
32,11557982
32,12275680
32,10407279
32,10599805
32,10184345
33,10222362
33,13517617
33,15829686
33,16101054
33,11988046
34,25242224
35,11750412
35,11799340
35,8417155
35,13548142
35,7954556
35,10993282
35,7039218
35,10970532
36,102661
37,15815333
37,16130291
37,16071745
37,17347634
37,15753740
37,18693627
38,127028
39,17735
40,22693811
40,13612962
40,18114578
40,25814583
40,24968392
40,18004320
41,79090
41,102916
42,2917367
42,2443516
42,1777371
43,13438524
44,9526
45,13325079
46,6340016
47,107792
48,126507
49,23492741
49,23209927
49,22544024
50,24963
50,11313
50,11306
50,11312
51,1724365
52,7346
52,643992
52,618174
52,7347
53,175828
54,44236
54,41589
55,762053
55,89365
56,613218
56,834019
57,2305862
57,2065091
57,1582996
58,8350864
59,15790833
59,14813667
59,17623975
59,13580951
59,15283043
59,13580928
59,13065327
59,16101126
60,2535732
61,4806
62,7058405
63,216196
63,208159
64,6280379
64,2694539
64,6065182
65,50695
65,16670
65,33299
66,12882349
67,3157877
67,615359
67,2842796
68,32957
68,764073
68,534274
68,683006
68,125502
69,238126
69,33732
69,201175
70,12389310
71,110396
71,71648
71,84151
71,854757
71,421129
72,19528
73,129117
74,68333
74,22326
74,834670
74,340816
75,842746
76,109830
77,355789
77,36000347
78,4789801
79,104344
79,387339
80,34272565
80,30971755
80,34466963
81,24384
82,38225791
82,39893545
82,43220998
82,35380157
82,41147279
82,37539001
82,41473872
82,39847584
82,43924017
82,42245770
82,36511805
82,43263520
82,38739562
83,456
84,366787
85,774032
86,7897478
86,6404621
87,72676
88,19580
88,99461
88,23463
88,404223
89,4364
90,1931915
91,10402992
92,32758901
93,228534
93,16055
94,140260
94,126059
94,640777
94,45436
94,316445
95,6687247
95,7936425
95,7935992
96,27397
97,179174
98,427920
99,105574
100,146943
101,6777616
101,6455256
101,7023554
101,6571967
101,8608083
101,6977769
102,80672
103,138683
104,22875451
104,22716194
104,21853633
104,23398961
104,23604559
104,27774596
105,6090807
105,3675828
106,13642963
106,16150996
106,16171291
106,15811568
106,16071767
107,15799936
107,7743117
107,12959743
107,15808835
107,12640991
108,35519101
109,14707
110,10978
111,256280
112,518982
112,8715
112,92365
113,26480
113,46660
114,36253
114,7604
114,127020
115,6586456
115,7302794
115,9343373
115,7815817
115,7116709
115,6625002
115,7839024
116,128109
117,1928405
118,7057397
118,11333934
119,6460814
120,12072969
121,13248799
122,786699
123,17190226
123,17201095
123,15745950
123,16070903
123,17314430
123,17340050
123,15731779
123,16102004
123,13600318
123,16113791
123,15784909
123,18149927
123,15990969
123,17156015
124,17296121
125,29661618
125,32671298
125,35827220
126,166562
126,4507
127,17586834
127,16277248
127,15984353
127,13429614
127,13226217
128,1322303
129,1071726
130,27268403
131,2484198
132,18405537
132,9565548
132,9943270
132,20522640
133,31447045
133,28256439
133,29056083
133,26247008
134,32560066
135,8225859
135,9308103
135,9263730
136,331260
136,84553
137,116567
137,500660
138,2432061
139,192954
140,10169662
140,10552338
140,9166559
140,7926569
140,9440448
140,9635495
140,8517008
140,10428708
141,369439
142,12878300
143,16067631
143,35297469
143,29456569
143,38355098
143,35046241
143,27426044
143,27883214
143,36341204
144,17611261
144,17699460
144,17437203
144,16069470
145,15757694
145,13414407
145,16160314
145,17454163
145,17982897
146,13152194
146,11337189
146,13588394
146,13425570
146,13151179
146,13521382
146,13167087
146,13099738
146,11324722
146,13259270
147,94351
148,56636
149,24568450
149,21531395
149,20880952
149,23456237
149,22325661
150,40605223
151,31815310
151,17901330
151,21472139
151,25736973
151,27431418
152,12970162
152,13038833
152,12174312
152,13265092
152,15707526
153,15818357
154,35425827
155,6390031
156,13573419
156,16059350
156,21865587
156,17855756
157,1967633
157,2049993
158,147908
159,7023148
160,165856
160,89716
161,11680603
162,27297
163,14404
164,12351695
165,14624906
165,15721334
166,9475932
166,8339286
166,12908035
166,13572812
166,8720917
167,6344897
168,9242236
168,270872
168,13356671
168,15811554
169,12180248
170,44184
171,24767508
172,17350491
172,13623948
172,16275210
172,17369312
172,15757971
172,14800331
172,17976204
172,11544466
173,30839185
173,29496208
173,33288638
173,31867358
173,34950852
173,31324863
173,32145091
173,33296129
173,32848471
173,34935946
173,32294951
173,21427834
173,22303684
174,6839020
174,3453791
174,6460716
174,6658211
174,3607394
174,6469814
174,3393124
175,30841984
176,31823677
176,30781490
177,44107480
178,108051
179,815234
180,170529
181,1380834
182,6658659
182,1900124
182,2856645
182,3400813
182,6449920
182,411527
183,10711
184,406422
184,593152
185,11106249
185,10815662
186,1739150
186,9639774
186,7712622
187,131304
188,838130
189,10710392
189,10814693
190,186445
191,7779571
192,3173125
192,6388743
193,12384984
193,11891486
193,10798416
194,9219901
195,15766776
196,22324795
196,16119167
197,119832
198,25053346
199,17801134
200,22841551
200,20640467
201,24611819
201,21418013
202,34213608
203,31144992
203,33158544
203,32819894
203,32204637
203,25226215
203,33986447
203,30653839
204,18077875
204,18668059
204,18594634
204,22668729
204,17934399
204,18050143
205,43848929
205,40776644
205,43126457
205,37570546
206,209690
207,459901
207,603515
208,5269911
209,317293
210,6377319
211,3107
212,205821
213,6309229
213,12666103
214,12885
215,320200
216,781653
217,8550813
218,7740772
218,10773376
219,8485458
219,7355137
219,10637959
219,20444068
219,9067850
219,8306745
219,11254250
219,8435445
219,9252036
219,9465845
220,975885
220,552285
221,5444895
222,21278
223,12591698
224,33016249
224,40207004
224,34210334
225,3629971
225,6060130
225,6182702
226,683406
227,6465063
227,7438179
227,7283762
227,6504894
227,7132363
228,186668
229,11378659
230,71111
231,744224
232,293951
233,1167033
234,776175
234,775864
235,18295852
235,18163646
235,20726924
235,22324898
235,18140047
235,18296030
235,18298225
235,17565845
235,18667779
235,22616635
235,18333898
235,13580846
236,65388
236,10532409
237,13505635
238,440638
239,18589573
240,11547633
241,40864841
242,44581535
242,42201996
242,43800180
242,40545956
242,41723475
243,11284
244,15682
244,12857
244,62793
245,137446
245,1291989
246,3250465
247,541920
248,105999
249,7696504
250,765811
251,11402993
252,5659537
253,895886
254,384579
255,3993839
256,6318413
257,2054504
257,759175
257,22207
257,2012337
258,27550
259,25193
260,18487180
261,18310201
262,30843
263,293602
264,18188319
265,43691
265,49628
266,6276276
267,21853636
267,17285330
267,24500775
267,20698530
267,19542841
267,18660447
267,18879761
267,23009402
267,22522202
267,21469068
268,10187223
269,129877
270,20649195
270,20734002
270,17185496
271,2161966
272,23533039
272,22544764
272,22816087
273,24382227
274,26245853
274,28374062
274,27276324
274,26109394
274,29543952
274,27213121
274,29437949
274,28815474
274,28187230
274,28233082
274,25734248
275,13630171
275,22571699
275,22698568
275,20883847
275,22055280
275,40610956
275,16065004
275,17901125
275,17333171
276,25334576
277,34684622
277,36301024
278,19523454
279,50196744
279,53415345
279,53011908
280,41081373
280,42975172
281,43521657
281,35965482
282,25810500
283,31952703
284,262545
284,44179
284,817791
285,303073
286,26482
287,281152
288,1720099
289,76758
290,123106
290,257800
290,1722423
290,1661957
290,317282
291,50804
291,359410
292,1099648
293,6578507
294,838668
295,108980
295,613866
295,6345760
296,7824997
296,6764787
296,6698199
296,7800188
297,10801027
297,9415966
297,11561469
297,8662836
297,15994590
297,8680278
297,8492856
297,10327303
297,9462775
298,9068791
299,9471730
300,13448374
300,13513092
300,12453610
300,11922297
300,13096280
300,13529055
300,13586786
300,15814872
300,13414676
301,1835150
302,5148758
302,6066819
302,6063187
302,3975186
302,5628393
303,2437710
304,6559316
305,8721183
306,13171072
307,10331050
307,13413589
307,16071748
307,12958034
307,10184403
307,15985348
307,16130369
307,15711341
307,15767586
307,15813668
307,13477883
308,17349023
308,15797028
309,12987986
310,8035987
311,563362
312,18218630
313,123667
313,7844543
313,20813238
314,26252659
314,28477789
314,25868031
314,40557032
314,31925314
314,31345271
314,27083865
314,26236956
314,17158532
314,28678119
314,29367958
314,24035804
314,27252717
314,17876897
315,31202835
316,15704486
316,22299763
316,28260587
316,25494343
316,23174274
316,26074181
316,25558608
316,20443235
316,28588345
316,23308084
316,22840421
316,27161189
317,33375622
318,25036395
318,28217831
319,35068592
319,36097619
319,35889209
319,30288282
319,35995489
320,34324484
321,25903764
322,169651
323,6177371
324,4418237
325,56083
326,8100267
326,6764886
326,7260188
326,6087756
326,7576115
326,7826116
327,9722219
327,9612470
327,8025911
327,10802904
327,9542259
328,133775
328,309480
328,849993
328,448873
329,179734
330,491578
330,207888
330,363851
331,300674
332,291583
333,7187640
333,6556855
333,6609552
333,7171637
333,7137775
334,2623267
335,7249522
336,11889938
337,275600
337,161099
338,15773979
338,19615422
339,42435
340,62535
341,41538
342,76688
343,182587
344,23494599
345,18505844
345,18298890
346,20890479
347,859887
348,22819788
349,1542100
350,25330544
350,34504470
350,28116858
350,27220736
351,647492
352,10433091
353,89231
353,24840
354,42141
354,29588
354,13594352
354,61887
354,62530
354,13888
354,60925
355,23019294
356,36840397
356,34262106
356,24233708
357,30223025
358,2590136
359,1286453
360,29589074
360,35297272
360,29958272
360,34325090
360,31625039
360,37880094
360,35068742
361,88071
362,28920
363,65053
364,454950
365,3280113
366,826564
367,61901
367,57498
367,94702
368,39799
368,288962
368,71678
368,867099
368,1735330
368,36061
369,15916
370,263466
371,10673576
372,13664
372,121457
373,11700333
373,12384322
373,12031532
374,15762657
374,9995135
374,12925200
374,13612739
374,13486122
374,12820360
374,23016317
374,12042279
374,12647642
374,13420351
375,1369831
375,256003
375,1108130
375,2119366
375,2144900
375,1223288
375,1206359
376,577184
377,18144009
378,22374443
379,312881
379,33600
380,748164
380,16089464
381,22717015
381,18461986
381,23355069
381,23252517
381,23270403
381,40781618
381,24920901
381,25644601
381,17876893
381,22895264
381,22107214
381,25564446
381,23200620
381,21849362
382,18509683
383,13512946
383,1128437
384,20736640
384,25189315
384,25370574
384,18144064
384,17727276
385,31139037
385,31184479
385,33128934
385,32283133
385,33230889
385,31125554
385,29939148
385,28965131
385,28016509
386,34513573
386,30820805
387,34390820
388,22571629
388,18104734
389,16131032
390,7493186
390,7831608
390,9664718
390,40603730
390,6547187
390,6337006
390,6781956
390,6758331
390,5041279
391,25852870
391,30008702
391,25781157
392,122126
392,414103
392,116722
393,337132
394,6216433
395,508098
396,5586327
397,86524
398,1002539
399,2114086
399,3284192
399,1809175
400,207802
401,684509
402,9327053
402,8725909
402,8875715
402,10842675
402,10059059
403,9674335
403,9615347
404,7202841
404,6120349
404,18665033
404,3217221
405,8213686
405,10454232
406,1804074
406,708694
406,1381691
406,924073
406,377254
406,212023
407,15808474
407,2890090
408,10000191
409,6931246
410,17643
410,702040
410,633425
410,87220
411,8163722
412,508988
413,67938
413,138097
414,715995
415,23012877
415,25517477
415,21535713
415,25898265
415,23017947
416,17262366
416,15808816
416,17286958
417,20702025
418,9783200
419,25526965
420,33099588
420,31450908
